MR,MH,AR,EH,PR,ALP
0.675969856,-1.303270428,-1.78801217,-1.375336814,-0.210857502,0.042039209
0.661954892,-1.220428802,-1.754269511,-1.375336814,-1.013033438,-1.746698604
1.400693851,0.790340981,0.332482435,-0.503090299,-1.131185118,-0.19015971
1.020427629,-0.617739527,-1.021478682,-0.886620636,-0.262922144,-1.548082129
1.332585792,1.162009873,0.932024373,-0.732524401,-0.317677902,-0.371302245
1.072615811,-0.362577637,-0.76415197,-1.087596257,-1.847461061,1.739223809
0.890750504,-0.087093951,0.246979001,-0.732524401,-0.907584193,-0.860547518
1.299956365,0.363547226,-0.965801983,-1.375336814,-1.422440464,-1.96419322
1.268186976,-0.312507099,-0.207835654,-1.87963184,-1.422440464,-1.907877464
1.524920341,-0.320492801,-0.340825739,-1.087596257,-0.262922144,-0.759372037
1.291520211,-0.637342976,-0.116857535,-0.732524401,-1.265758561,0.248464364
1.237119659,-0.19794069,-0.276970026,-1.375336814,-1.013033438,-1.409859274
1.151674084,-0.637342976,0.209871566,-0.607769054,-1.131185118,-0.291588647
1.190483108,-0.087093951,0.115193545,-0.886620636,-0.210857502,-0.895401527
1.218394994,-0.341412818,-0.161836617,-0.263666195,-0.068351822,-0.19015971
0.933062874,-2.175828636,-1.51616137,-0.607769054,-1.422440464,0.248464364
1.109202584,-0.541253331,-0.000582751,-1.375336814,-1.131185118,-0.759372037
1.081867577,-1.54866954,-1.099446949,-1.087596257,-0.812267101,-0.826268829
1.423062927,0.368997622,-0.340825739,0.003854829,-0.161220044,-0.317799235
1.135220341,-0.371113079,0.340541573,-1.087596257,-0.907584193,-0.759372037
1.343416878,1.399779058,0.887108747,-0.200339483,-0.210857502,0.127412205
1.428923576,-0.142559042,-0.029831322,-0.886620636,-0.907584193,-0.265727382
1.248209583,-0.709965573,-0.687140824,0.817448829,0.943110155,0.248464364
1.412350213,-0.123868741,0.447078117,-0.503090299,-0.024755022,-0.826268829
0.981423356,-0.449773445,-0.042972708,-1.87963184,-2.170655091,-1.365637036
1.291674161,0.594874687,0.937540646,-0.090001187,0.017156238,-0.215020633
1.357147387,0.059061945,0.002640084,0.383053418,0.272739955,0.248464364
1.525789156,1.223787759,0.109112821,0.871969722,1.158846683,0.46861255
1.620441942,0.368997622,0.61237481,0.30787433,0.656020785,-0.45439629
1.596090649,0.445805882,0.528210151,-0.413002038,-0.317677902,-0.240207327
1.37147372,-0.362577637,-1.707676788,-1.87963184,-1.131185118,-1.409859274
1.48428532,0.133851583,0.459626836,0.993774593,1.112399232,0.601465022
1.292905004,0.149653456,0.513750496,0.731528289,1.112399232,-0.45439629
1.170640931,-0.687227404,0.444557134,-1.87963184,-1.610602394,-0.45439629
1.526161284,0.486478101,0.065989299,0.582205335,0.766824487,-0.45439629
1.217081012,0.355333362,0.356549163,0.615203546,0.170362893,0.343511644
1.314631792,-0.541253331,0.177871108,-0.607769054,-1.013033438,0.433761927
1.191659609,0.516227042,0.375040343,-0.090001187,0.057513428,-1.117626451
1.44390648,0.594874687,0.442032387,0.470723318,0.533438712,-0.047439895
1.336043512,1.154756494,0.889008569,0.359007982,0.424923892,0.208999656
1.329960638,0.69520693,1.192907445,0.19070789,0.533438712,0.168660502
1.717606764,1.712234094,1.47838209,0.861461973,-0.024755022,0.569190867
1.411936062,1.197553938,1.132319929,-0.142764831,-0.210857502,-0.19015971
1.333821926,-1.32701794,-0.356134431,-1.087596257,-0.725229283,-1.852892163
1.11781936,-0.362577637,1.372031717,-1.087596257,-1.422440464,-2.541797833
1.377000349,0.355333362,-0.458385907,0.280610441,-0.068351822,0.416075177
1.09104871,-1.118679997,-0.269583479,-1.375336814,-1.610602394,-0.371302245
1.044427662,-1.075603086,-0.295551158,-1.375336814,-1.610602394,-0.759372037
1.044427662,-2.313399181,-2.072656338,-0.886620636,-0.210857502,-1.157034908
1.239808236,-0.120155153,-0.000582751,-1.375336814,-0.907584193,-0.19015971
0.611065731,-0.687227404,-0.280673104,-0.886620636,-0.907584193,0.248464364
1.193505994,-1.266445749,-0.137492462,-1.087596257,-1.013033438,-2.081050711
1.381127127,-0.707539635,-0.211417244,-1.375336814,-1.013033438,-1.548082129
1.090682809,-0.738402037,0.005857565,-0.732524401,-1.265758561,0.502785871
1.380985083,0.247149203,0.171992384,-0.732524401,-1.610602394,-0.45439629
0.824523598,-0.458723524,-1.681385351,-0.607769054,-0.812267101,-0.759372037
1.914131717,1.465956608,0.917208717,-0.732524401,-0.161220044,0.754317496
0.994958415,-0.60801136,-0.269583479,-0.607769054,-0.375435119,-0.19015971
1.692354997,0.998606508,1.000346052,-1.375336814,-1.013033438,-0.930848077
1.0269382,-1.586443364,-1.419134922,-1.375336814,-0.725229283,-1.454985224
1.053896774,-1.389233633,-1.331200791,0.280610441,-0.262922144,0.754317496
1.283795817,-0.423178874,-0.414535344,-0.413002038,-0.645089544,0.248464364
1.115193064,1.313797538,1.473594682,-0.413002038,-1.422440464,0.754317496
1.160850908,-0.872324813,-0.079570982,-0.413002038,-1.131185118,-0.19015971
1.142950649,0.08547529,-0.882150139,-1.087596257,-0.436562238,-1.454985224
1.127084304,-0.279370279,-0.375425774,-0.142764831,-0.161220044,-0.317799235
1.377427978,0.409237034,0.462125397,-1.087596257,-1.131185118,-1.596124531
1.29490226,1.328663696,1.201979751,-0.333989343,-1.265758561,0.433761927
1.166357122,-1.226945291,-0.262222963,-0.263666195,-0.812267101,-1.548082129
1.109202584,-0.844828704,-0.137492462,-0.607769054,-1.265758561,-0.19015971
0.970164663,-1.20099239,-0.490837482,-0.732524401,-1.265758561,-1.548082129
1.435293177,0.327617414,0.227092591,-1.087596257,-1.265758561,-0.930848077
0.673432481,-1.23348076,-0.258552426,-0.607769054,-0.725229283,0.042039209
1.286582691,1.303763963,1.124343577,-0.732524401,-0.113783382,-0.601120212
1.09104871,-0.123868741,-0.57410334,-0.090001187,-0.725229283,0.569190867
1.239808236,-2.713039084,-1.246059877,-1.087596257,-1.265758561,-0.398612344
1.463036996,-0.687227404,-0.186476475,-0.503090299,-0.725229283,-0.759372037
1.134162282,0.498950684,0.9116129,-0.886620636,0.170362893,-0.759372037
1.195349453,-1.20099239,-0.233038585,-1.375336814,-0.570789896,0.042039209
1.063292514,-0.133188302,0.348563734,-0.142764831,-0.725229283,0.248464364
1.015570548,-0.40565917,-0.062851187,0.33397578,0.239652166,-0.19015971
0.803052455,-2.090930671,-2.102640583,0.661522923,0.701620137,0.433761927
1.109202584,-1.445971265,-0.60399056,-0.200339483,0.017156238,-0.45439629
1.033350322,0.224472088,-0.71854514,1.180206419,1.030755016,0.89448899
1.00462041,-1.826184225,-0.820066534,-0.607769054,-0.068351822,-0.631798784
0.696098435,-1.299897986,-0.92116058,-0.503090299,-0.024755022,-0.759372037
0.733042604,-1.015513429,-1.325439268,0.19070789,-0.024755022,0.042039209
0.87123941,-0.817695454,-0.700548013,-0.886620636,-0.068351822,-1.69539077
0.225260048,-1.266445749,-1.174432734,-0.607769054,-0.436562238,-1.548082129
0.739101487,-0.900191152,0.316252245,0.003854829,0.424923892,-0.895401527
1.106316429,-0.40565917,-0.190020896,0.003854829,-0.436562238,0.248464364
1.290750146,0.13702469,0.229946938,0.045985379,0.533438712,-0.759372037
0.857181258,-0.279370279,-0.096432975,-0.200339483,-0.068351822,-0.895401527
1.396500403,-0.042227874,-0.352296947,0.564999934,0.39609038,0.601465022
1.322647021,-0.957065019,-0.787290201,-0.607769054,-0.317677902,-0.759372037
1.109202584,-1.431657352,-1.754269511,-0.041319846,-0.068351822,0.433761927
0.844752706,-0.494958271,-0.561414463,-0.333989343,0.057513428,-0.45439629
1.344885691,0.521123939,-0.348466348,0.122557188,-0.262922144,0.754317496
1.245487241,-0.279370279,-0.523772254,-1.087596257,-0.812267101,-0.826268829
1.322647021,-0.215494509,-0.356134431,-0.886620636,-0.725229283,-1.117626451
1.116387554,-0.738402037,-0.519628628,-1.087596257,-0.436562238,-0.966905135
0.935141665,0.473893553,-0.046271866,-0.732524401,-0.645089544,-0.759372037
0.544611089,-0.618227216,-1.142028008,-0.200339483,-0.317677902,-0.19015971
1.229015927,-1.3475706,-0.916250081,-1.87963184,-0.068351822,-1.454985224
1.196019077,-0.279370279,-0.367688381,-1.375336814,-0.907584193,-1.548082129
0.976007813,-0.069002914,-0.182938195,-1.087596257,-1.422440464,-1.117626451
1.408847958,0.08547529,0.112155647,0.222157049,-0.113783382,0.148152241
1.588491034,0.149653456,0.932024373,0.529038086,0.584053015,0.042039209
1.299192049,0.180786408,0.57783637,0.529038086,0.33611037,0.042039209
1.239378487,0.211307153,0.93937464,-0.041319846,-0.436562238,-0.45439629
1.300261946,-0.087093951,0.084591417,1.128970773,1.354769034,0.343511644
1.461455801,0.571516863,-0.41848548,1.09447016,1.188846553,0.10643574
1.578164642,0.233806795,0.556752801,0.769887313,0.745493349,0.569190867
1.594079938,1.542489464,0.963002083,1.135630123,1.417768579,0.324900031
1.221509714,-0.051105204,0.57783637,1.192332524,1.477705081,0.248464364
1.188968715,1.147453773,1.503182868,1.180206419,1.367629902,0.433761927
1.4793696,0.803225306,1.036706573,1.232862048,1.143562389,0.633146962
1.61020782,-0.015877426,-0.27327349,0.383053418,0.787772358,-0.759372037
1.501947326,0.671376629,0.844670839,1.43337123,1.823165306,0.433761927
1.597557509,1.316291783,1.361499254,1.042427298,1.301931514,0.042039209
1.659280529,-0.123868741,0.442032387,1.296285492,1.702001762,0.248464364
1.669674809,0.211307153,0.846626848,1.42146568,1.652124928,0.536304726
1.489563646,-0.637342976,-0.356134431,0.97660938,1.246703823,0.042039209
1.483123131,-0.351964358,0.212753092,0.97660938,1.405424067,-0.19015971
1.689825377,0.9295895,0.817010288,1.530500716,1.81424442,0.89448899
1.632363921,0.837264218,0.668325012,1.723862489,2.360917529,0.811801935
1.686336511,0.893503706,1.119534368,1.03459608,1.047535613,0.839822384
1.763390837,0.888915499,0.698807764,1.632819051,2.211629848,0.754317496
1.623830417,0.409237034,0.858308358,1.375529127,1.981821997,0.569190867
1.804561674,0.486478101,0.109112821,1.589975918,2.250562352,0.867380311
1.867167474,0.523565912,0.235642159,1.513736891,1.832024205,1.143435643
1.846971831,0.255979526,0.501603315,2.146500146,2.905356427,1.33853719
1.031045835,0.08547529,0.798951773,0.871969722,0.961164157,0.248464364
0.953014855,-0.738402037,0.078410971,0.280610441,0.533438712,-0.45439629
1.755334022,0.964608132,1.441968408,0.731528289,0.507265232,0.85365832
1.281157446,1.768522829,2.117894961,1.180206419,1.392954592,0.89448899
1.35801804,0.11788958,0.454618555,1.215842009,0.787772358,1.143435643
1.567256475,0.673561068,0.867972069,1.108518692,0.924776615,0.783305121
1.387782508,0.461195516,0.227092591,1.275917621,1.013735043,1.143435643
1.340473406,0.891670523,0.244151466,0.902410401,0.36650021,1.023722093
1.725270554,1.658541279,1.014311596,1.180206419,0.887233402,1.023722093
1.559599373,1.38248426,1.573279612,1.286192543,0.887233402,1.35878572
2.127700183,0.87131939,1.095221493,1.018609631,0.584053015,1.378772351
1.631245215,0.689829063,0.321678975,1.362325175,1.652124928,1.023722093
1.652399828,1.455140131,1.937269366,1.296285492,1.203571862,1.023722093
1.477812519,0.617834845,-0.705034296,1.503432281,1.288357433,1.036100784
1.417582472,0.456084179,0.794908879,1.448863821,0.848454509,1.33853719
1.636046842,1.031628815,1.051997815,0.78214107,0.906154277,0.601465022
1.670320855,1.251203224,1.140247903,1.503432281,1.188846553,1.35878572
1.834712628,1.754435246,1.839229998,1.101537114,0.828574318,1.547782104
1.667842059,1.399779058,1.77164485,0.95892369,1.260747316,0.89448899
1.919607913,1.714628117,1.938017057,1.344227245,0.745493349,1.65075405
1.693722498,1.612872788,1.311532382,1.344227245,1.17393975,1.254798878
1.738212091,1.303763963,0.753869923,0.967833517,0.808351163,1.35878572
2.045134631,1.656831933,1.811232876,1.520502791,1.288357433,1.35878572
1.708847703,1.695272784,0.844670839,1.002171225,0.745493349,1.297229814
1.949865596,1.425145896,1.157521227,0.985255166,0.507265232,1.254798878
1.173715599,-0.029000213,0.198299698,0.045985379,0.205549088,-0.45439629
1.111002892,-0.135058342,-0.647378662,-1.375336814,-0.317677902,-0.511797963
1.289516948,0.631424288,1.390238808,0.490793606,0.453040326,-0.165617211
